rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
1000026,Reporter,Al-Nahrain University,n/a,1000026,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,5716,6.2,0%,49:51:00,Al-Nahrain University,"Accounting & Finance,General Engineering,Architecture,Civil Engineering,Law,Communication & Media Studies,Other Health,Mathematics & Statistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Business & Management,Electrical & Electronic Engineering,Medicine & Dentistry,Physics & Astronomy,Biological Sciences,Computer Science,Chemistry,Chemical Engineering",FALSE,FALSE
1000027,Reporter,Al-Noor University College,n/a,1000027,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,6454,40.6,0%,62:38:00,Al-Noor University College,"Medicine & Dentistry,Sport Science,Law,Languages, Literature & Linguistics,Architecture,Other Health",FALSE,FALSE
1000028,Reporter,Al-Quds University,n/a,1000028,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Palestine,12170,12.3,6%,62:38:00,Al-Quds University,"Communication & Media Studies,Other Health,Medicine & Dentistry,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Economics & Econometrics,General Engineering,Sport Science,Education,Mathematics & Statistics,Architecture,Chemical Engineering,Physics & Astronomy,Sociology,History, Philosophy & Theology,Law,Geography,Art, Performing Arts & Design,Computer Science,Psychology,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Biological Sciences,Languages, Literature & Linguistics,Agriculture & Forestry",FALSE,FALSE
1000029,Reporter,Altınbaş University,n/a,1000029,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,8204,13.7,47%,41:59:00,Altınbaş University,"Law,Electrical & Electronic Engineering,Architecture,Art, Performing Arts & Design,Business & Management,Psychology,Sociology,Economics & Econometrics,Civil Engineering,Computer Science,Communication & Media Studies,Medicine & Dentistry,Accounting & Finance,Politics & International Studies (incl Development Studies),Other Health,Mechanical & Aerospace Engineering",FALSE,FALSE
1000030,Reporter,American International University – Bangladesh,n/a,1000030,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Bangladesh,10738,26.6,0%,24 : 76,American International University – Bangladesh,"General Engineering,Other Health,Languages, Literature & Linguistics,Business & Management,Computer Science,Communication & Media Studies,Economics & Econometrics,Accounting & Finance,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Architecture,Law",FALSE,FALSE
1000031,Reporter,American University of Madaba,n/a,1000031,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Jordan,1685,17.9,26%,47:53:00,American University of Madaba,"Other Health,Biological Sciences,Accounting & Finance,Business & Management,Civil Engineering,Art, Performing Arts & Design,Languages, Literature & Linguistics,Architecture,Mechanical & Aerospace Engineering,Computer Science",FALSE,FALSE
1000032,Reporter,American University of Nigeria,n/a,1000032,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,1100,10.1,2%,49:51:00,American University of Nigeria,"Communication & Media Studies,Accounting & Finance,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Business & Management,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,General Engineering,Electrical & Electronic Engineering,Law",FALSE,FALSE
1000033,Reporter,American University of Ras Al Khaimah,n/a,1000033,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Arab Emirates,784,8.1,63%,50:50:00,American University of Ras Al Khaimah,"Biological Sciences,Education,Computer Science,Communication & Media Studies,Accounting & Finance,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Business & Management",FALSE,FALSE
1000034,Reporter,"Amity University, Gurugram",n/a,1000034,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,5695,14.8,2%,40 : 60,"Amity University, Gurugram","Architecture,Physics & Astronomy,Computer Science,Mathematics & Statistics,Other Health,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Civil Engineering,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,General Engineering,Art, Performing Arts & Design,Chemistry,Communication & Media Studies,Law,History, Philosophy & Theology,Biological Sciences,Economics & Econometrics,Mechanical & Aerospace Engineering",FALSE,FALSE
1000035,Reporter,"Amity University, Gwalior",n/a,1000035,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,2160,12.6,0%,43:57:00,"Amity University, Gwalior","History, Philosophy & Theology,Biological Sciences,Mechanical & Aerospace Engineering,Psychology,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Agriculture & Forestry,Accounting & Finance,Chemistry,Architecture,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering,Communication & Media Studies,Business & Management,Law,Electrical & Electronic Engineering,Mathematics & Statistics,Other Health",FALSE,FALSE
1000036,Reporter,"Amity University Rajasthan, Jaipur",n/a,1000036,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,2971,12.5,0%,33 : 67,"Amity University Rajasthan, Jaipur","Languages, Literature & Linguistics,Art, Performing Arts & Design,Chemistry,Mechanical & Aerospace Engineering,Computer Science,Business & Management,Law,Architecture,General Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Communication & Media Studies,Chemical Engineering,Biological Sciences,History, Philosophy & Theology,Psychology,Electrical & Electronic Engineering,Mathematics & Statistics,Accounting & Finance,Economics & Econometrics,Physics & Astronomy",FALSE,FALSE
1000037,Reporter,"Amity University, Mumbai",n/a,1000037,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,4358,22.7,0%,48:52:00,"Amity University, Mumbai","Business & Management,Computer Science,Psychology,Law,Civil Engineering,Biological Sciences,Mechanical & Aerospace Engineering,Accounting & Finance,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Electrical & Electronic Engineering",FALSE,FALSE
1000038,Reporter,Andijan State Medical Institute,n/a,1000038,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Uzbekistan,6831,9.5,5%,47:53:00,Andijan State Medical Institute,"Other Health,Sport Science,Education,Medicine & Dentistry",FALSE,FALSE
1000039,Reporter,Andrés Bello Catholic University (UCAB),n/a,1000039,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Venezuela,10857,17.8,1%,50:50:00,Andrés Bello Catholic University (UCAB),"Psychology,Sociology,Languages, Literature & Linguistics,General Engineering,Education,Communication & Media Studies,Architecture,History, Philosophy & Theology,Law,Civil Engineering,Accounting & Finance,Business & Management,Computer Science",FALSE,FALSE
1000040,Reporter,Anglo-American University,n/a,1000040,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Czech Republic,620,12.7,80%,40 : 60,Anglo-American University,"Art, Performing Arts & Design,Communication & Media Studies,History, Philosophy & Theology,Business & Management,Politics & International Studies (incl Development Studies)",FALSE,FALSE
1000041,Reporter,Ankara Science University,n/a,1000041,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,393,9.6,19%,62:38:00,Ankara Science University,"Electrical & Electronic Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Business & Management,Law,Psychology,General Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Computer Science,Architecture",FALSE,FALSE
1000042,Reporter,Arab American University,n/a,1000042,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Palestine,12070,31.1,44%,58:42:00,Arab American University,"Mechanical & Aerospace Engineering,Biological Sciences,Mathematics & Statistics,Psychology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Sport Science,Physics & Astronomy,General Engineering,Computer Science,Law,Languages, Literature & Linguistics,Medicine & Dentistry,Civil Engineering,Architecture,Politics & International Studies (incl Development Studies),Communication & Media Studies,Chemistry,Electrical & Electronic Engineering,Other Health,Sociology,Art, Performing Arts & Design,Business & Management,Economics & Econometrics,Education",FALSE,FALSE
1000043,Reporter,Arab Open University – Kuwait,n/a,1000043,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Kuwait,9139,103.9,64%,57:43:00,Arab Open University – Kuwait,"Accounting & Finance,Languages, Literature & Linguistics,Economics & Econometrics,Business & Management,Computer Science",FALSE,FALSE
1000044,Reporter,Arab Open University Lebanon,n/a,1000044,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Lebanon,1754,13.3,14%,47:53:00,Arab Open University Lebanon,"Business & Management,Accounting & Finance,Computer Science,Education,Languages, Literature & Linguistics",FALSE,FALSE
1000045,Reporter,Arts University Bournemouth,n/a,1000045,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,3310,14.1,21%,69:31:00,Arts University Bournemouth,"Architecture,Communication & Media Studies,Art, Performing Arts & Design",FALSE,FALSE
1000046,Reporter,Antonio Nariño University,n/a,1000046,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Colombia,13359,17.9,1%,53:47:00,Antonio Nariño University UAN Universidad Antonio Nariño,"Education,Biological Sciences,Business & Management,Veterinary Science,Architecture,Law,Accounting & Finance,Computer Science,Chemistry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,Psychology,Other Health,Medicine & Dentistry,General Engineering,Economics & Econometrics,Mathematics & Statistics",FALSE,FALSE
1000046,Reporter,University of the Arts London,n/a,1000046,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,17930,12.8,60%,76:24:00,University of the Arts London,"Architecture,Psychology,Business & Management,Computer Science,Communication & Media Studies,Art, Performing Arts & Design,Other Health",FALSE,FALSE
1000047,Reporter,Arts University Plymouth,n/a,1000047,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,1215,12.2,9%,72:28:00,Arts University Plymouth,"Education,Communication & Media Studies,Electrical & Electronic Engineering,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Business & Management",FALSE,FALSE
1000048,Reporter,Asahi University,n/a,1000048,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,2607,8.7,5%,33 : 67,Asahi University,"Medicine & Dentistry,Other Health,Accounting & Finance,Law,Business & Management",FALSE,FALSE
1000049,Reporter,Ashikaga University,n/a,1000049,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Japan,1572,19.9,15%,25 : 75,Ashikaga University,"Other Health,Civil Engineering,General Engineering,Electrical & Electronic Engineering,Computer Science,Mechanical & Aerospace Engineering",FALSE,FALSE
1000050,Reporter,Ashur University College,n/a,1000050,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,1059,8.1,0%,59:41:00,Ashur University College,"Law,Medicine & Dentistry,Other Health,Business & Management,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering",FALSE,FALSE
1000051,Reporter,Audencia,n/a,1000051,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,France,5838,38.7,31%,52:48:00,Audencia,"Business & Management,Economics & Econometrics,Accounting & Finance",FALSE,FALSE
1000052,Reporter,Augustine University,n/a,1000052,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,238,3.7,0%,40 : 60,Augustine University,"Accounting & Finance,Communication & Media Studies,Physics & Astronomy,Languages, Literature & Linguistics,Biological Sciences,General Engineering,Computer Science,History, Philosophy & Theology,Mathematics & Statistics,Chemistry,Economics & Econometrics,Agriculture & Forestry,Business & Management,Politics & International Studies (incl Development Studies)",FALSE,FALSE
1000053,Reporter,Azerbaijan University of Architecture and Construction,n/a,1000053,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Azerbaijan,9846,18.9,3%,0.970833333,Azerbaijan University of Architecture and Construction,"Art, Performing Arts & Design,Economics & Econometrics,Business & Management,Electrical & Electronic Engineering,Civil Engineering,Computer Science,Architecture",FALSE,FALSE
1000054,Reporter,Azerbaijan State University of Economics,n/a,1000054,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Azerbaijan,17328,11.8,2%,51:49:00,Azerbaijan State University of Economics,"General Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemistry,Business & Management,Computer Science,Electrical & Electronic Engineering,Mathematics & Statistics,Architecture,Chemical Engineering,Economics & Econometrics,Physics & Astronomy",FALSE,FALSE
1000055,Reporter,Babcock University,n/a,1000055,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,12340,18.8,0%,53:47:00,Babcock University,"Education,Physics & Astronomy,Politics & International Studies (incl Development Studies),Accounting & Finance,Computer Science,Mathematics & Statistics,Biological Sciences,Other Health,Languages, Literature & Linguistics,Art, Performing Arts & Design,Agriculture & Forestry,History, Philosophy & Theology,Communication & Media Studies,Medicine & Dentistry,Law,Chemistry",FALSE,FALSE
1000056,Reporter,Badr University in Cairo (BUC),n/a,1000056,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Egypt,14021,20.7,2%,55:45:00,Badr University in Cairo (BUC),"Agriculture & Forestry,Chemistry,Medicine & Dentistry,Accounting & Finance,Physics & Astronomy,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Economics & Econometrics,Biological Sciences,Other Health,Veterinary Science,Electrical & Electronic Engineering,Communication & Media Studies,Art, Performing Arts & Design,Law,Business & Management,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Civil Engineering,Chemical Engineering",FALSE,FALSE
1000057,Reporter,Bakrie University,n/a,1000057,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Indonesia,3219,33.9,0%,57:43:00,Bakrie University,"Accounting & Finance,Business & Management,Agriculture & Forestry,General Engineering,Communication & Media Studies,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering",FALSE,FALSE
1000058,Reporter,"Balochistan University of Engineering and Technology, Khuzdar",n/a,1000058,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,2990,15,%,0.35625,"Balochistan University of Engineering and Technology, Khuzdar","Education,General Engineering,Civil Engineering,Computer Science,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",FALSE,FALSE
1000059,Reporter,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",n/a,1000059,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,4329,14.9,0%,60:40:00,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti","Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),Chemistry,Art, Performing Arts & Design,Education,Communication & Media Studies,Economics & Econometrics,General Engineering,Business & Management,Electrical & Electronic Engineering,Geography,Sport Science,Accounting & Finance,Civil Engineering,Computer Science,Physics & Astronomy,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
1000060,Reporter,Bandirma Onyedi Eylül University,n/a,1000060,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,15473,47,7%,45:55:00,Bandirma Onyedi Eylül University,"Accounting & Finance,Veterinary Science,Medicine & Dentistry,Sociology,History, Philosophy & Theology,Sport Science,Business & Management,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Mathematics & Statistics,Other Health,Architecture,Communication & Media Studies,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Computer Science",FALSE,FALSE
1000061,Reporter,Bangabandhu Sheikh Mujibur Rahman Agricultural University,n/a,1000061,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Bangladesh,1760,8.4,3%,53:47:00,Bangabandhu Sheikh Mujibur Rahman Agricultural University,"Veterinary Science,General Engineering,Economics & Econometrics,Agriculture & Forestry",FALSE,FALSE
1000062,Reporter,Barawa International University,n/a,1000062,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Somalia,13200,35.3,3%,33 : 67,Barawa International University,"Mathematics & Statistics,Medicine & Dentistry,Biological Sciences,Civil Engineering,Languages, Literature & Linguistics,Psychology,Law,Computer Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Education",FALSE,FALSE
1000063,Reporter,Bartin University,n/a,1000063,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,10317,23.7,9%,44:56:00,Bartin University,"General Engineering,Chemistry,Civil Engineering,Other Health,History, Philosophy & Theology,Economics & Econometrics,Mechanical & Aerospace Engineering,Psychology,Electrical & Electronic Engineering,Computer Science,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Sport Science,Business & Management,Agriculture & Forestry,Sociology,Biological Sciences",FALSE,FALSE
1000064,Reporter,Bashkir State Medical University,n/a,1000064,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Russia,8118,9.7,23%,69:31:00,Bashkir State Medical University,,FALSE,FALSE
1000065,Reporter,Basrah University College of Science and Technology,n/a,1000065,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,2115,21.2,0%,46:54:00,Basrah University College of Science and Technology,"Business & Management,Medicine & Dentistry,Electrical & Electronic Engineering,Languages, Literature & Linguistics",FALSE,FALSE
1000066,Reporter,Bath Spa University,n/a,1000066,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,6555,17.7,11%,68:32:00,Bath Spa University,"Economics & Econometrics,Communication & Media Studies,Accounting & Finance,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Sociology,Law,Business & Management,Geology, Environmental, Earth & Marine Sciences,Education,Politics & International Studies (incl Development Studies),Psychology,Art, Performing Arts & Design,Computer Science,Geography,Agriculture & Forestry,Languages, Literature & Linguistics,Physics & Astronomy",FALSE,FALSE
1000067,Reporter,University of Batna 1,n/a,1000067,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,32179,28.1,0%,64:36:00,University of Batna 1,"Archaeology,Electrical & Electronic Engineering,Psychology,Agriculture & Forestry,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemistry,Mathematics & Statistics,Sociology,Architecture,Accounting & Finance,Biological Sciences,Politics & International Studies (incl Development Studies),Law,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,Physics & Astronomy,Chemical Engineering,Geography,Education,Veterinary Science,Art, Performing Arts & Design,Communication & Media Studies",FALSE,FALSE
1000068,Reporter,Baze University,n/a,1000068,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,1790,5.2,0%,50:50:00,Baze University,"Business & Management,Physics & Astronomy,Medicine & Dentistry,Accounting & Finance,Mechanical & Aerospace Engineering,Sociology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Law,Economics & Econometrics,Biological Sciences,Chemical Engineering,Chemistry,Computer Science,Mathematics & Statistics,Civil Engineering,Communication & Media Studies,General Engineering,Psychology,Architecture",FALSE,FALSE
1000069,Reporter,Belarusian State University of Informatics and Radioelectronics,n/a,1000069,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Belarus,14082,16.2,4%,0.888888889,Belarusian State University of Informatics and Radioelectronics,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Computer Science,Business & Management,Chemistry,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Education,Psychology,General Engineering,Mathematics & Statistics",FALSE,FALSE
1000070,Reporter,Bells University of Technology,n/a,1000070,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,1765,7.5,0%,27 : 73,Bells University of Technology,"Business & Management,Mathematics & Statistics,Sociology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Biological Sciences,Mechanical & Aerospace Engineering,Agriculture & Forestry,Chemistry,Physics & Astronomy,Architecture,Civil Engineering,Computer Science,Electrical & Electronic Engineering",FALSE,FALSE
1000071,Reporter,University of Benghazi,n/a,1000071,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Libya,76419,16.3,2%,58:42:00,University of Benghazi,"Accounting & Finance,Law,Biological Sciences,Economics & Econometrics,Other Health,Medicine & Dentistry,Geography,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences,Business & Management,Mathematics & Statistics,Sociology,Veterinary Science,History, Philosophy & Theology,General Engineering,Psychology,Art, Performing Arts & Design,Computer Science,Agriculture & Forestry,Civil Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Education",FALSE,FALSE
1000072,Reporter,Benson Idahosa University,n/a,1000072,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,3859,16.6,0%,50:50:00,Benson Idahosa University,"Civil Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Economics & Econometrics,Biological Sciences,Business & Management,Agriculture & Forestry,Electrical & Electronic Engineering,Sociology,Computer Science,Other Health,Mathematics & Statistics,Medicine & Dentistry,Physics & Astronomy,Chemistry,Communication & Media Studies,Languages, Literature & Linguistics,Education,Accounting & Finance,Law",FALSE,FALSE
1000073,Reporter,Bernardo O’Higgins University,n/a,1000073,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Chile,7554,18.1,4%,66:34:00,Bernardo O’Higgins University,"Medicine & Dentistry,Biological Sciences,Business & Management,Sport Science,Other Health,Law,Psychology,Accounting & Finance,Chemistry,Education,Physics & Astronomy,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Geography,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Economics & Econometrics,Veterinary Science,History, Philosophy & Theology,General Engineering,Communication & Media Studies",FALSE,FALSE
1000074,Reporter,Beykent University,n/a,1000074,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,22103,25.4,4%,47:53:00,Beykent University,"Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,General Engineering,Civil Engineering,Chemical Engineering,Art, Performing Arts & Design,Sociology,Mechanical & Aerospace Engineering,Psychology,Biological Sciences,Agriculture & Forestry,History, Philosophy & Theology,Mathematics & Statistics,Medicine & Dentistry,Computer Science,Communication & Media Studies,Architecture,Law,Accounting & Finance,Economics & Econometrics,Business & Management,Other Health",FALSE,FALSE
1000075,Reporter,Bilecik Şeyh Edebali University,n/a,1000075,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,10434,18.2,8%,42:58:00,Bilecik Şeyh Edebali University,"Geography,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Archaeology,Biological Sciences,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,Computer Science,Chemical Engineering,Physics & Astronomy,Civil Engineering,Chemistry,Languages, Literature & Linguistics,Other Health,Medicine & Dentistry,Economics & Econometrics",FALSE,FALSE
1000076,Reporter,Biruni University,n/a,1000076,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Turkey,5111,16.9,7%,72:28:00,Biruni University,"Education,Other Health,Psychology,Medicine & Dentistry,Mathematics & Statistics,Architecture,Biological Sciences,Sport Science,Chemistry,Chemical Engineering,Computer Science",FALSE,FALSE
1000077,Reporter,Birzeit University,n/a,1000077,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Palestine,11486,17.5,5%,63:37:00,Birzeit University,"Economics & Econometrics,Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology,Civil Engineering,Law,Education,Archaeology,Languages, Literature & Linguistics,Other Health,Art, Performing Arts & Design,Mathematics & Statistics,Psychology,Architecture,General Engineering,Sport Science,Electrical & Electronic Engineering,Business & Management,Chemistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,History, Philosophy & Theology,Accounting & Finance,Geography,Mechanical & Aerospace Engineering,Physics & Astronomy",FALSE,FALSE
1000078,Reporter,University of Bisha,n/a,1000078,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Saudi Arabia,13919,11.8,1%,66:34:00,University of Bisha,"Business & Management,Medicine & Dentistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Biological Sciences,Art, Performing Arts & Design,Other Health,Electrical & Electronic Engineering,Education,Computer Science",FALSE,FALSE
1000079,Reporter,Bishop Grosseteste University,n/a,1000079,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,2010,21.2,4%,79:21:00,Bishop Grosseteste University,"Psychology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Sociology,Other Health,Education,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,Sport Science",FALSE,FALSE
1000080,Reporter,University of Bogotá Jorge Tadeo Lozano,n/a,1000080,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Colombia,7704,18.6,1%,55:45:00,University of Bogotá Jorge Tadeo Lozano,"History, Philosophy & Theology,Biological Sciences,Chemical Engineering,Civil Engineering,Architecture,Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Veterinary Science,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sociology,Electrical & Electronic Engineering,Agriculture & Forestry,Art, Performing Arts & Design,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Computer Science,Mathematics & Statistics,Communication & Media Studies,Business & Management,General Engineering,Chemistry,Psychology",FALSE,FALSE
1000081,Reporter,University of Bolton,n/a,1000081,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,5400,14.6,33%,61:39:00,University of Bolton,"General Engineering,Languages, Literature & Linguistics,Psychology,Computer Science,Sport Science,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Other Health,Education,Sociology,Law,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Biological Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies",FALSE,FALSE
1000082,Reporter,Botswana International University of Science and Technology (BIUST),n/a,1000082,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Botswana,2006,11.4,1%,0.970833333,Botswana International University of Science and Technology (BIUST),"Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Computer Science,Physics & Astronomy,Mathematics & Statistics,Chemical Engineering,General Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Chemistry,Electrical & Electronic Engineering",FALSE,FALSE
1000083,Reporter,Bowen University,n/a,1000083,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,4161,12,0%,58:42:00,Bowen University,"Accounting & Finance,Biological Sciences,Physics & Astronomy,Architecture,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Mathematics & Statistics,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Law,Communication & Media Studies,Other Health,Agriculture & Forestry,Computer Science,History, Philosophy & Theology,Chemical Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Chemistry",FALSE,FALSE
1000084,Reporter,Buckinghamshire New University,n/a,1000084,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,5290,17.3,32%,60:40:00,Buckinghamshire New University,"Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Communication & Media Studies,Other Health,Art, Performing Arts & Design,Sport Science,General Engineering,Law,Psychology,Computer Science,Education,Politics & International Studies (incl Development Studies)",FALSE,FALSE
